app_name,vector,is_ransom,entr_r,entr_w,ext_r_cnt,ext_w_cnt,fids_c,fids_d,fids_r,fids_rn,fids_w,fids_ch,ext_ch_cnt,mouvedout,pids,ext_w_docs,ext_w_data,ext_w_db,ext_w_code,ext_w_exe,dir_files_c,dir_files_ch,exe_exists,test_set,sample_id
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,7,7,10,5,207,93,227,2,106,9,1,95,110,0,2,0,5814,0,103,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,5,TRUE,7,7,10,5,225,100,249,2,115,12,1,102,124,0,2,0,6203,0,112,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,6,TRUE,7,7,10,5,250,112,274,2,127,12,1,114,136,0,2,0,6791,0,124,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,7,TRUE,7,7,10,5,280,127,304,2,142,13,1,129,153,0,2,0,7503,0,139,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,8,TRUE,7,7,10,5,286,132,309,2,146,13,1,134,155,0,2,0,7618,0,143,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,9,TRUE,7,7,10,5,298,135,322,2,153,14,1,137,162,0,2,0,7913,0,150,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,10,TRUE,7,7,10,5,335,148,355,2,171,14,1,150,185,0,2,0,8824,0,168,1,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,1,TRUE,7,7,10,5,343,149,363,2,176,16,1,151,188,0,2,0,8978,0,172,2,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,2,TRUE,7,7,10,5,343,149,363,2,176,16,1,151,188,0,2,0,8978,0,172,2,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,3,TRUE,7,7,10,5,347,152,369,2,177,19,1,154,195,0,2,0,9038,0,173,2,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,4,TRUE,7,7,10,5,359,163,382,2,184,23,1,165,205,0,2,0,9289,0,180,2,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,5,TRUE,7,7,10,5,364,165,385,2,186,23,1,167,207,0,2,0,9394,0,182,2,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,6,TRUE,7,7,10,5,410,182,439,2,211,27,1,184,236,0,2,0,10469,0,206,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,7,TRUE,7,7,10,5,431,194,465,2,222,29,1,196,242,0,2,0,10921,0,217,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,8,TRUE,7,7,10,5,448,202,481,2,230,31,1,204,252,0,2,0,11380,0,225,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,9,TRUE,7,7,10,5,458,207,488,2,236,31,1,209,255,0,2,0,11547,0,231,3,1,FALSE,2
C:\Users\Damien\Desktop\VirusShare_fbeee11b5bc8e5add0c622a48d671795.exe,10,TRUE,8,7,10,5,474,213,506,2,243,31,1,215,261,0,2,0,11921,0,239,3,1,FALSE,2
